Method,Classifier,AUC Mean,AUC Std,Execution Time
GA Unsupervised,Logistic Regression,0.6586868757098643,0.04002194067439436,5.707806825637817
GA Unsupervised,Random Forest,0.6680961253594668,0.018913348478808212,5.707806825637817
GA Unsupervised,Support Vector Machine,0.6397576344230695,0.03297190127111504,5.707806825637817
GA Unsupervised,K-Nearest Neighbors,0.6519233957450297,0.021663670584281685,5.707806825637817
GA Supervised,Logistic Regression,0.7511842370167493,0.014289120390099297,4.179667949676514
GA Supervised,Random Forest,0.7333722442534019,0.01510920603088923,4.179667949676514
GA Supervised,Support Vector Machine,0.7344643666068132,0.022095511429826263,4.179667949676514
GA Supervised,K-Nearest Neighbors,0.6280277728467383,0.04329031966865408,4.179667949676514
PSO Unsupervised,Logistic Regression,0.6847860886924926,0.04670451213925196,3.7597060203552246
PSO Unsupervised,Random Forest,0.6516708612494737,0.029026747032521776,3.7597060203552246
PSO Unsupervised,Support Vector Machine,0.6654765989893248,0.0664125684055235,3.7597060203552246
PSO Unsupervised,K-Nearest Neighbors,0.6236936760534872,0.04341273421982257,3.7597060203552246
PSO Supervised,Logistic Regression,0.7458986851618215,0.027770743767111358,4.002846002578735
PSO Supervised,Random Forest,0.6624937613839502,0.03481613832166304,4.002846002578735
PSO Supervised,Support Vector Machine,0.7285603991864253,0.01686735677788111,4.002846002578735
PSO Supervised,K-Nearest Neighbors,0.5935522255189742,0.05717777739997657,4.002846002578735
SA Unsupervised,Logistic Regression,0.6700870619622672,0.05185152350781924,9.29127287864685
SA Unsupervised,Random Forest,0.7049593021064695,0.03574209477128993,9.29127287864685
SA Unsupervised,Support Vector Machine,0.6560817458321563,0.05260864690063597,9.29127287864685
SA Unsupervised,K-Nearest Neighbors,0.6631560315006538,0.02806419167491466,9.29127287864685
SA Supervised,Logistic Regression,0.7191727437618243,0.02467045185438664,10.34521770477295
SA Supervised,Random Forest,0.6772805267441967,0.02440284508999085,10.34521770477295
SA Supervised,Support Vector Machine,0.7085490543910085,0.029057444543048046,10.34521770477295
SA Supervised,K-Nearest Neighbors,0.6327298528589578,0.08878145599698188,10.34521770477295
